"id","category","concept","keywords","content","source_url"
"1","introduction","Python 개요","python|파이썬","Python은 읽기 쉬운 문법을 사용하는 범용 프로그래밍 언어입니다. 인터프리터가 코드를 실행하며, 변수·함수·모듈·예외 처리 같은 기능을 제공합니다.","https://docs.python.org/3/tutorial/introduction.html"
"2","variables","변수와 대입","variable|변수|assignment|대입","변수에는 값을 저장하고 이름으로 다시 사용할 수 있습니다. x = 10처럼 등호 오른쪽 값을 계산한 뒤 왼쪽 이름에 연결합니다. x = x + 1은 기존 x 값에 1을 더해 다시 저장합니다.","https://docs.python.org/3/tutorial/introduction.html"
"3","numbers","정수 나눗셈과 나머지","//|%|나눗셈|나머지","//는 나눗셈 결과의 몫을 아래 방향으로 내림한 값을 반환하고 %는 나머지를 반환합니다. 예를 들어 17 // 5는 3이고 17 % 5는 2입니다.","https://docs.python.org/3/tutorial/introduction.html#numbers"
"4","numbers","실수와 거듭제곱","float|실수|**|거듭제곱","소수점이 있는 값은 float 자료형입니다. /는 실수 나눗셈을 하고 **는 거듭제곱을 계산합니다. 예를 들어 5 / 2는 2.5이고 2 ** 3은 8입니다.","https://docs.python.org/3/tutorial/introduction.html#numbers"
"5","strings","문자열 만들기","string|문자열|따옴표|quote","문자열은 작은따옴표 또는 큰따옴표로 만들 수 있습니다. 문자열 안에 작은따옴표가 있다면 큰따옴표로 감싸면 편리합니다. 예: message = \"I'm learning Python\".","https://docs.python.org/3/tutorial/introduction.html#text"
"6","strings","문자열 인덱싱과 슬라이싱","index|인덱싱|slice|슬라이싱","인덱싱은 위치 하나의 문자를 가져오고 슬라이싱은 범위의 문자열을 가져옵니다. text = \"Python\"일 때 text[0]은 \"P\"이고 text[1:4]는 \"yth\"입니다.","https://docs.python.org/3/tutorial/introduction.html#text"
"7","lists","리스트 생성과 수정","list|리스트|append|목록","리스트는 여러 값을 순서대로 저장하며 대괄호로 만듭니다. numbers = [10, 20, 30]에서 numbers[0]은 10입니다. numbers[1] = 25로 항목을 수정할 수 있습니다.","https://docs.python.org/3/tutorial/introduction.html#lists"
"8","lists","리스트 메서드","append|extend|insert|pop","append(x)는 끝에 항목 하나를 추가합니다. extend(iterable)는 여러 항목을 이어 붙이고 insert(i, x)는 i 위치 앞에 삽입합니다. pop()은 마지막 항목을 꺼내고 삭제합니다.","https://docs.python.org/3/tutorial/datastructures.html#more-on-lists"
"9","tuples","튜플과 리스트","tuple|튜플|리스트","리스트는 생성 후 항목을 추가하거나 수정할 수 있지만 튜플은 항목을 변경할 수 없습니다. 리스트는 대괄호를 주로 사용하고 튜플은 쉼표로 구성합니다.","https://docs.python.org/3/tutorial/datastructures.html#tuples-and-sequences"
"10","dictionaries","딕셔너리","dict|dictionary|딕셔너리|키|값","딕셔너리는 키와 값을 쌍으로 저장합니다. student = {\"name\": \"민수\"}로 만들고 student[\"name\"]으로 조회합니다. student[\"age\"] = 20처럼 값을 추가하거나 수정할 수 있습니다.","https://docs.python.org/3/tutorial/datastructures.html#dictionaries"
"11","sets","집합 자료형","set|집합|합집합|교집합","set은 중복 없는 항목을 저장합니다. a | b는 합집합이고 a & b는 교집합입니다. 예를 들어 set([1, 1, 2])에는 1과 2만 남습니다.","https://docs.python.org/3/tutorial/datastructures.html#sets"
"12","control_flow","if elif else 조건문","if|elif|else|조건문","if의 조건부터 검사하고 거짓이면 순서대로 elif를 검사하며 어느 조건도 참이 아니면 else를 실행합니다. 참이 된 분기 하나만 실행됩니다.","https://docs.python.org/3/tutorial/controlflow.html#if-statements"
"13","control_flow","for 반복문","for|반복문|loop","for 문은 리스트 같은 반복 가능한 객체의 항목을 앞에서부터 하나씩 변수에 넣어 반복합니다. 예: for fruit in [\"사과\", \"배\"]: print(fruit).","https://docs.python.org/3/tutorial/controlflow.html#for-statements"
"14","control_flow","while 반복문","while|반복문|loop","while 문은 조건이 참인 동안 본문을 반복합니다. 반복 안에서 조건에 영향을 주는 값을 바꾸지 않으면 무한 반복이 될 수 있습니다.","https://docs.python.org/3/tutorial/introduction.html#first-steps-towards-programming"
"15","control_flow","range 함수","range|범위|start|stop|step","range(start, stop, step)은 start부터 시작해 stop 직전까지 step만큼 증가하는 정수 범위를 만듭니다. range(1, 7, 2)는 1, 3, 5를 만듭니다.","https://docs.python.org/3/tutorial/controlflow.html#the-range-function"
"16","control_flow","break와 continue","break|continue","break는 현재 반복문 전체를 즉시 종료합니다. continue는 현재 회차의 남은 코드를 건너뛰고 다음 회차로 진행합니다.","https://docs.python.org/3/tutorial/controlflow.html#break-and-continue-statements"
"17","functions","함수 정의","def|함수|function|정의","def 뒤에 함수 이름과 매개변수를 쓰고 들여쓴 본문을 작성합니다. 예: def add(a, b): return a + b. 함수는 add(2, 3)처럼 호출할 수 있습니다.","https://docs.python.org/3/tutorial/controlflow.html#defining-functions"
"18","functions","매개변수와 반환값","parameter|매개변수|return|반환값","매개변수는 함수 호출 때 전달받는 값의 이름이고 return은 함수 결과를 호출한 곳으로 돌려줍니다. return이 없으면 함수는 None을 반환합니다.","https://docs.python.org/3/tutorial/controlflow.html#defining-functions"
"19","functions","기본 인자값","default|기본값|인자","기본 인자값은 함수가 정의될 때 한 번 평가됩니다. 리스트처럼 변경 가능한 객체를 기본값으로 쓰면 호출 사이에 값이 공유될 수 있으므로 None을 기본값으로 두고 함수 안에서 새 객체를 만드는 편이 안전합니다.","https://docs.python.org/3/tutorial/controlflow.html#default-argument-values"
"20","functions","lambda 표현식","lambda|람다","lambda는 한 개의 표현식으로 짧은 익명 함수를 만드는 문법입니다. 예: square = lambda x: x ** 2. 여러 문장이 필요하면 def로 일반 함수를 정의하는 편이 읽기 쉽습니다.","https://docs.python.org/3/tutorial/controlflow.html#lambda-expressions"
"21","modules","모듈 import","import|모듈|module","import math를 실행하면 math 모듈을 가져오고 math.sqrt(16)처럼 점 표기법으로 함수에 접근합니다. from math import sqrt로 특정 이름만 가져올 수도 있습니다.","https://docs.python.org/3/tutorial/modules.html#more-on-modules"
"22","errors","try except 예외 처리","try|except|예외|exception","try 블록에 실행할 코드를 두고 except에 처리할 예외 종류를 씁니다. 예: 0으로 나누면 ZeroDivisionError가 발생하므로 except ZeroDivisionError로 처리할 수 있습니다.","https://docs.python.org/3/tutorial/errors.html#handling-exceptions"
"23","files","파일 읽기","open|파일|read|with","with open(\"memo.txt\", encoding=\"utf-8\") as file: text = file.read()처럼 사용합니다. with 블록이 끝나면 파일이 자동으로 닫힙니다.","https://docs.python.org/3/tutorial/inputoutput.html#reading-and-writing-files"
"24","strings","f-string","f-string|fstring|format|포맷","문자열 앞에 f를 붙이고 중괄호 안에 변수나 표현식을 넣습니다. price = 12.345일 때 print(f\"가격: {price:.2f}\")는 소수점 둘째 자리까지 출력합니다.","https://docs.python.org/3/tutorial/inputoutput.html#formatted-string-literals"
"25","json","JSON 저장과 읽기","json|dump|load","json.dump(data, file)는 파이썬 객체를 JSON 파일로 저장하고 json.load(file)은 JSON 파일을 읽습니다. 한글을 그대로 저장하려면 json.dump에 ensure_ascii=False를 지정할 수 있습니다.","https://docs.python.org/3/tutorial/inputoutput.html#saving-structured-data-with-json"
